Week;Zraneni;AL
1.tyzden.2010;24;-19.773148
2.tyzden.2010;19;-33.738095
3.tyzden.2010;26;-45.369048
4.tyzden.2010;20;-39.101191
5.tyzden.2010;21;-59.291667
6.tyzden.2010;23;-27.773810
7.tyzden.2010;21;-78.541667
8.tyzden.2010;27;-36.851191
9.tyzden.2010;22;-54.226190
10.tyzden.2010;21;-68.428571
11.tyzden.2010;24;-59.886905
12.tyzden.2010;20;-31.928572
13.tyzden.2010;13;-109.184524
14.tyzden.2010;25;-274.779762
15.tyzden.2010;18;-79.404762
16.tyzden.2010;18;-73.089286
17.tyzden.2010;30;-41.946429
18.tyzden.2010;19;-180.595238
19.tyzden.2010;27;-38.244048
20.tyzden.2010;20;-64.773809
21.tyzden.2010;25;-107.059524
22.tyzden.2010;34;-172.660715
23.tyzden.2010;36;-51.005952
24.tyzden.2010;23;-82.607143
25.tyzden.2010;18;-57.321428
26.tyzden.2010;32;-124.470238
27.tyzden.2010;23;-43.916667
28.tyzden.2010;32;-49.422619
29.tyzden.2010;23;-38.226190
30.tyzden.2010;23;-113.428572
31.tyzden.2010;26;-124.119048
32.tyzden.2010;32;-73.886905
33.tyzden.2010;15;-48.660714
34.tyzden.2010;30;-119.696429
35.tyzden.2010;27;-31.660714
36.tyzden.2010;25;-72.511905
37.tyzden.2010;31;-60.404762
38.tyzden.2010;27;-59.386905
39.tyzden.2010;17;-43.761905
40.tyzden.2010;24;-59.440476
41.tyzden.2010;22;-102.541667
42.tyzden.2010;20;-87.880952
43.tyzden.2010;31;-66.488095
44.tyzden.2010;28;-37.535714
45.tyzden.2010;29;-94.988095
46.tyzden.2010;23;-41.232143
47.tyzden.2010;19;-54.279762
48.tyzden.2010;14;-34.500000
49.tyzden.2010;28;-33.791667
50.tyzden.2010;22;-76.988095
51.tyzden.2010;23;-52.035714
52.tyzden.2010;21;-80.944444
1.tyzden.2011;11;-64.296296
2.tyzden.2011;12;-68.815476
3.tyzden.2011;13;-52.511905
4.tyzden.2011;19;-43.000000
5.tyzden.2011;10;-106.827381
6.tyzden.2011;11;-43.386905
7.tyzden.2011;9;-85.357143
8.tyzden.2011;11;-47.107143
9.tyzden.2011;18;-153.821429
10.tyzden.2011;14;-178.797619
11.tyzden.2011;12;-33.958333
12.tyzden.2011;16;-47.625000
13.tyzden.2011;24;-102.142857
14.tyzden.2011;14;-118.261905
15.tyzden.2011;13;-85.095238
16.tyzden.2011;18;-59.970238
17.tyzden.2011;16;-113.089286
18.tyzden.2011;20;-123.642857
19.tyzden.2011;17;-57.363095
20.tyzden.2011;23;-68.041667
21.tyzden.2011;23;-159.708333
22.tyzden.2011;30;-132.845238
23.tyzden.2011;21;-138.273810
24.tyzden.2011;23;-69.053572
25.tyzden.2011;20;-155.011905
26.tyzden.2011;31;-77.214286
27.tyzden.2011;19;-142.785714
28.tyzden.2011;27;-89.821429
29.tyzden.2011;19;-131.505952
30.tyzden.2011;15;-76.726190
31.tyzden.2011;13;-102.869048
32.tyzden.2011;20;-90.315476
33.tyzden.2011;31;-63.458333
34.tyzden.2011;14;-69.886905
35.tyzden.2011;20;-70.791667
36.tyzden.2011;28;-129.053571
37.tyzden.2011;23;-136.666667
38.tyzden.2011;19;-41.410714
39.tyzden.2011;19;-183.773809
40.tyzden.2011;22;-109.178572
41.tyzden.2011;15;-38.303571
42.tyzden.2011;25;-33.214286
43.tyzden.2011;14;-80.000000
44.tyzden.2011;19;-116.476190
45.tyzden.2011;20;-31.750000
46.tyzden.2011;20;-25.327381
47.tyzden.2011;21;-59.053572
48.tyzden.2011;28;-89.851190
49.tyzden.2011;22;-35.898809
50.tyzden.2011;26;-24.375000
51.tyzden.2011;27;-42.035714
52.tyzden.2011;9;-37.020833
1.tyzden.2012;12;-61.984375
2.tyzden.2012;21;-43.863095
3.tyzden.2012;21;-74.744048
4.tyzden.2012;16;-129.488095
5.tyzden.2012;11;-71.398809
6.tyzden.2012;7;-83.827381
7.tyzden.2012;15;-131.928572
8.tyzden.2012;18;-97.839286
9.tyzden.2012;14;-153.607143
10.tyzden.2012;14;-258.559524
11.tyzden.2012;9;-240.244048
12.tyzden.2012;13;-75.452381
13.tyzden.2012;11;-100.553571
14.tyzden.2012;11;-114.154762
15.tyzden.2012;16;-108.065476
16.tyzden.2012;17;-99.065476
17.tyzden.2012;17;-189.535714
18.tyzden.2012;27;-50.065476
19.tyzden.2012;29;-164.488095
20.tyzden.2012;12;-86.571429
21.tyzden.2012;22;-107.779762
22.tyzden.2012;16;-85.166667
23.tyzden.2012;20;-148.488095
24.tyzden.2012;20;-140.232143
25.tyzden.2012;24;-73.904762
26.tyzden.2012;14;-125.708333
27.tyzden.2012;9;-115.976191
28.tyzden.2012;13;-260.095238
29.tyzden.2012;12;-172.166667
30.tyzden.2012;18;-83.952381
31.tyzden.2012;14;-108.440476
32.tyzden.2012;22;-89.458333
33.tyzden.2012;29;-122.892857
34.tyzden.2012;28;-133.851190
35.tyzden.2012;14;-80.922619
36.tyzden.2012;17;-178.083333
37.tyzden.2012;20;-46.309524
38.tyzden.2012;22;-86.738095
39.tyzden.2012;18;-46.595238
40.tyzden.2012;26;-90.750000
41.tyzden.2012;22;-262.922619
42.tyzden.2012;32;-50.654762
43.tyzden.2012;6;-56.785714
44.tyzden.2012;23;-83.315476
45.tyzden.2012;13;-52.976190
46.tyzden.2012;18;-127.821428
47.tyzden.2012;22;-112.089286
48.tyzden.2012;20;-40.547619
49.tyzden.2012;27;-21.297619
50.tyzden.2012;17;-60.273810
51.tyzden.2012;14;-79.005952
52.tyzden.2012;20;-29.270833
1.tyzden.2013;17;-19.222222
2.tyzden.2013;22;-38.755952
3.tyzden.2013;10;-81.964286
4.tyzden.2013;21;-59.285714
5.tyzden.2013;15;-38.494048
6.tyzden.2013;11;-59.202381
7.tyzden.2013;11;-101.130952
8.tyzden.2013;11;-93.285714
9.tyzden.2013;13;-109.845238
10.tyzden.2013;12;-38.988095
11.tyzden.2013;17;-125.988095
12.tyzden.2013;9;-91.803572
13.tyzden.2013;16;-139.678571
14.tyzden.2013;7;-51.327381
15.tyzden.2013;13;-39.565476
16.tyzden.2013;14;-31.910714
17.tyzden.2013;15;-124.625000
18.tyzden.2013;14;-139.922619
19.tyzden.2013;16;-64.416667
20.tyzden.2013;34;-147.208333
21.tyzden.2013;12;-183.291667
22.tyzden.2013;11;-152.035714
23.tyzden.2013;15;-168.303571
24.tyzden.2013;25;-56.755952
25.tyzden.2013;14;-146.035714
26.tyzden.2013;18;-210.351190
27.tyzden.2013;11;-138.089286
28.tyzden.2013;21;-239.839286
29.tyzden.2013;25;-112.958333
30.tyzden.2013;16;-118.226190
31.tyzden.2013;25;-76.517857
32.tyzden.2013;27;-86.017857
33.tyzden.2013;26;-132.577381
34.tyzden.2013;12;-137.672619
35.tyzden.2013;19;-126.922619
36.tyzden.2013;19;-62.779762
37.tyzden.2013;19;-59.827381
38.tyzden.2013;20;-87.851190
39.tyzden.2013;14;-44.148810
40.tyzden.2013;9;-80.500000
41.tyzden.2013;24;-99.136905
42.tyzden.2013;23;-116.833333
43.tyzden.2013;19;-20.529762
44.tyzden.2013;18;-74.315476
45.tyzden.2013;19;-107.351191
46.tyzden.2013;20;-91.500000
47.tyzden.2013;10;-32.976190
48.tyzden.2013;13;-50.220238
49.tyzden.2013;20;-72.702381
50.tyzden.2013;12;-51.458333
51.tyzden.2013;18;-49.089286
52.tyzden.2013;20;-38.574074
1.tyzden.2014;15;-130.941667
2.tyzden.2014;15;-63.904762
3.tyzden.2014;11;-29.440476
4.tyzden.2014;8;-75.458333
5.tyzden.2014;15;-46.976190
6.tyzden.2014;21;-93.321429
7.tyzden.2014;19;-63.523810
8.tyzden.2014;24;-216.565476
9.tyzden.2014;11;-80.125000
10.tyzden.2014;20;-50.880953
11.tyzden.2014;11;-55.130952
12.tyzden.2014;13;-51.494048
13.tyzden.2014;12;-66.994048
14.tyzden.2014;15;-63.714285
15.tyzden.2014;23;-124.148809
16.tyzden.2014;11;-79.273810
17.tyzden.2014;10;-103.053571
18.tyzden.2014;14;-106.535714
19.tyzden.2014;11;-117.339286
20.tyzden.2014;17;-51.666667
21.tyzden.2014;19;-81.666667
22.tyzden.2014;13;-60.297619
23.tyzden.2014;20;-86.291667
24.tyzden.2014;16;-61.476190
25.tyzden.2014;13;-99.738095
26.tyzden.2014;11;-56.404762
27.tyzden.2014;16;-51.904762
28.tyzden.2014;25;-83.809524
29.tyzden.2014;22;-41.934524
30.tyzden.2014;17;-52.821429
31.tyzden.2014;12;-70.976190
32.tyzden.2014;9;-102.065476
33.tyzden.2014;16;-58.654762
34.tyzden.2014;24;-80.315476
35.tyzden.2014;11;-167.279762
36.tyzden.2014;17;-108.041667
37.tyzden.2014;11;-78.755952
38.tyzden.2014;17;-54.726190
39.tyzden.2014;17;-179.785714
40.tyzden.2014;17;-103.267857
41.tyzden.2014;19;-102.011905
42.tyzden.2014;16;-117.994048
43.tyzden.2014;25;-191.684524
44.tyzden.2014;13;-94.357143
45.tyzden.2014;19;-85.500000
46.tyzden.2014;11;-125.672619
47.tyzden.2014;14;-139.565476
48.tyzden.2014;21;-61.410714
49.tyzden.2014;18;-112.029762
50.tyzden.2014;20;-132.755952
51.tyzden.2014;18;-117.095238
52.tyzden.2014;18;-117.887500
1.tyzden.2015;6;-150.177083
2.tyzden.2015;6;-126.273810
3.tyzden.2015;22;-66.583333
4.tyzden.2015;9;-61.321429
5.tyzden.2015;24;-108.482143
6.tyzden.2015;12;-131.577381
7.tyzden.2015;4;-48.827381
8.tyzden.2015;6;-92.672619
9.tyzden.2015;6;-125.095238
tyzden.2015;8;-145.083333
11.tyzden.2015;10;-70.404762
12.tyzden.2015;14;-245.625000
13.tyzden.2015;12;-111.982143
tyzden.2015;14;-78.220238
15.tyzden.2015;15;-112.619048
16.tyzden.2015;9;-199.851191
tyzden.2015;11;-85.154762
18.tyzden.2015;15;-70.505952
19.tyzden.2015;17;-94.029762
20.tyzden.2015;21;-193.880952
21.tyzden.2015;19;-64.934524
22.tyzden.2015;18;-53.863096
23.tyzden.2015;33;-45.857143
24.tyzden.2015;22;-178.601190
25.tyzden.2015;11;-119.946429
26.tyzden.2015;9;-217.904762
27.tyzden.2015;18;-86.065476
28.tyzden.2015;23;-115.583333
29.tyzden.2015;15;-118.946429
30.tyzden.2015;20;-115.077381
31.tyzden.2015;21;-123.029762
32.tyzden.2015;22;-127.773810
33.tyzden.2015;14;-186.904762
34.tyzden.2015;20;-194.142857
35.tyzden.2015;16;-242.875000
36.tyzden.2015;22;-122.601190
37.tyzden.2015;21;-297.994048
38.tyzden.2015;24;-200.690476
39.tyzden.2015;18;-75.101191
40.tyzden.2015;14;-153.827381
41.tyzden.2015;14;-335.517857
42.tyzden.2015;19;-211.636905
43.tyzden.2015;14;-76.845238
44.tyzden.2015;18;-69.964286
45.tyzden.2015;18;-246.880952
46.tyzden.2015;16;-231.190476
47.tyzden.2015;19;-97.291667
48.tyzden.2015;19;-46.720238
49.tyzden.2015;15;-157.821429
50.tyzden.2015;17;-162.190476
51.tyzden.2015;21;-170.428572
52.tyzden.2015;22;-121.515152
1.tyzden.2016;9;-106.970833
2.tyzden.2016;18;-76.839286
3.tyzden.2016;8;-141.196429
4.tyzden.2016;16;-57.154762
5.tyzden.2016;8;-107.565476
6.tyzden.2016;11;-93.738095
7.tyzden.2016;13;-193.755952
8.tyzden.2016;16;-48.738095
9.tyzden.2016;8;-68.369048
10.tyzden.2016;7;-126.053571
11.tyzden.2016;18;-201.636905
12.tyzden.2016;6;-56.095238
13.tyzden.2016;12;-118.625000
14.tyzden.2016;12;-76.136905
15.tyzden.2016;11;-212.345238
16.tyzden.2016;14;-55.369048
17.tyzden.2016;20;-89.666667
18.tyzden.2016;11;-225.904762
19.tyzden.2016;10;-160.785714
20.tyzden.2016;12;-110.904762
21.tyzden.2016;15;-81.892857
22.tyzden.2016;20;-100.309524
23.tyzden.2016;24;-122.255952
24.tyzden.2016;14;-99.202381
25.tyzden.2016;16;-97.857143
26.tyzden.2016;15;-79.571429
27.tyzden.2016;16;-128.988095
28.tyzden.2016;27;-153.482143
29.tyzden.2016;9;-78.886905
30.tyzden.2016;12;-123.315476
31.tyzden.2016;25;-164.077381
32.tyzden.2016;27;-141.529762
33.tyzden.2016;30;-72.202381
34.tyzden.2016;15;-114.208333
35.tyzden.2016;23;-270.535714
36.tyzden.2016;24;-140.029762
37.tyzden.2016;30;-69.529762
38.tyzden.2016;18;-80.720238
39.tyzden.2016;13;-340.000000
40.tyzden.2016;19;-138.553571
41.tyzden.2016;11;-175.309524
42.tyzden.2016;16;-91.226191
43.tyzden.2016;16;-361.321429
44.tyzden.2016;17;-130.863095
45.tyzden.2016;16;-118.529762
46.tyzden.2016;17;-49.523809
47.tyzden.2016;23;-204.047619
48.tyzden.2016;13;-46.785714
49.tyzden.2016;12;-143.125000
50.tyzden.2016;21;-45.285714
51.tyzden.2016;12;-216.642857
52.tyzden.2016;9;-118.409722
